#&a / °	I1 / %
0.695	9.7
0.692	9.7
0.689	9.7
0.686	9.7
0.683	9.8
0.680	9.7
0.677	9.7
0.674	9.7
0.671	9.7
0.668	9.7
0.665	9.7
0.662	9.8
0.660	9.8
0.657	9.8
0.654	9.7
0.651	9.7
0.648	9.7
0.645	9.7
0.642	9.8
0.639	9.8
0.636	9.7
0.633	9.7
0.630	9.7
0.627	9.7
0.624	9.7
0.621	9.7
0.618	9.8
0.615	9.8
0.612	9.8
0.609	9.8
0.606	9.7
0.603	9.7
0.600	9.8
0.597	9.8
0.594	9.8
0.591	9.8
0.588	9.8
0.585	9.8
0.582	9.8
0.579	9.8
0.576	9.8
0.573	9.8
0.570	9.8
0.567	9.8
0.564	9.8
0.561	9.8
0.559	9.8
0.556	9.8
0.553	9.8
0.550	9.8
0.547	9.8
0.544	9.8
0.541	9.8
0.538	9.8
0.535	9.8
0.532	9.8
0.529	9.8
0.526	9.8
0.523	9.8
0.520	9.8
0.517	9.8
0.514	9.8
0.511	9.9
0.508	9.8
0.505	9.8
0.502	9.8
0.499	9.8
0.496	9.8
0.493	9.8
0.490	9.8
0.487	9.8
0.484	9.8
0.481	9.8
0.478	9.8
0.475	9.8
0.472	9.8
0.469	9.8
0.466	9.8
0.463	9.8
0.460	9.8
0.458	9.8
0.455	9.8
0.452	9.9
0.449	9.9
0.446	9.9
0.443	9.9
0.440	9.9
0.437	9.9
0.434	9.9
0.431	9.9
0.428	9.9
0.425	9.9
0.422	9.9
0.419	9.9
0.416	9.9
0.413	9.9
0.410	9.9
0.407	9.9
0.404	9.9
0.401	9.8
0.398	9.8
0.395	9.8
0.392	9.9
0.389	9.9
0.386	9.9
0.383	9.9
0.380	9.9
0.377	9.9
0.374	9.9
0.371	9.9
0.368	9.9
0.365	9.9
0.362	9.9
0.359	9.9
0.357	9.9
0.354	9.9
0.351	9.9
0.348	9.9
0.345	9.9
0.342	9.9
0.339	9.9
0.336	9.9
0.333	9.9
0.330	9.9
0.327	9.9
0.324	9.9
0.321	9.9
0.318	9.9
0.315	9.9
0.312	9.9
0.309	9.9
0.306	9.9
0.303	9.9
0.300	9.9
0.297	9.9
0.294	9.9
0.291	9.9
0.288	9.9
0.285	9.9
0.282	10.0
0.279	10.0
0.276	10.0
0.273	10.0
0.270	10.0
0.267	10.0
0.264	10.0
0.261	10.0
0.258	10.0
0.255	10.0
0.253	10.0
0.250	10.1
0.247	10.0
0.244	10.0
0.241	10.0
0.238	10.0
0.235	10.0
0.232	10.0
0.229	10.1
0.226	10.1
0.223	10.1
0.220	10.1
0.217	10.1
0.214	10.1
0.211	10.1
0.208	10.1
0.205	10.1
0.202	10.1
0.199	10.1
0.196	10.1
0.193	10.1
0.190	10.1
0.187	10.1
0.184	10.1
0.181	10.2
0.178	10.2
0.175	10.2
0.172	10.2
0.169	10.2
0.166	10.2
0.163	10.2
0.160	10.2
0.157	10.2
0.154	10.2
0.152	10.3
0.149	10.3
0.146	10.3
0.143	10.3
0.140	10.3
0.137	10.3
0.134	10.4
0.131	10.4
0.128	10.4
0.125	10.4
0.122	10.5
0.119	10.5
0.116	10.5
0.113	10.5
0.110	10.5
0.107	10.6
0.104	10.6
0.101	10.6
0.098	10.6
0.095	10.7
0.092	10.7
0.089	10.8
0.086	10.8
0.083	10.9
0.080	11.1
0.077	11.4
0.074	11.8
0.071	12.4
0.068	13.2
0.065	14.3
0.062	15.8
0.059	17.7
0.056	20.1
0.053	23.1
0.051	27.2
0.048	32.3
0.045	38.4
0.042	45.1
0.039	52.2
0.036	59.5
0.033	66.8
0.030	73.5
0.027	78.8
0.024	83.3
0.021	86.5
0.018	88.4
0.015	92.0
0.012	93.7
0.009	94.4
0.006	93.2
0.003	91.1
0.000	90.4
-0.003	90.6
-0.006	90.6
-0.009	92.4
-0.012	93.4
-0.015	91.8
-0.018	89.7
-0.021	87.8
-0.024	83.9
-0.027	78.2
-0.030	71.1
-0.033	62.7
-0.036	53.3
-0.039	42.6
-0.042	32.6
-0.045	24.8
-0.048	19.4
-0.051	16.1
-0.053	14.1
-0.056	13.0
-0.059	12.2
-0.062	11.8
-0.065	11.6
-0.068	11.4
-0.071	11.2
-0.074	11.2
-0.077	11.1
-0.080	11.1
-0.083	11.0
-0.086	11.0
-0.089	10.9
-0.092	10.9
-0.095	10.9
-0.098	10.9
-0.101	10.8
-0.104	10.8
-0.107	10.7
-0.110	10.7
-0.113	10.7
-0.116	10.6
-0.119	10.6
-0.122	10.6
-0.125	10.6
-0.128	10.6
-0.131	10.6
-0.134	10.6
-0.137	10.5
-0.140	10.5
-0.143	10.5
-0.146	10.5
-0.149	10.5
-0.152	10.5
-0.154	10.5
-0.157	10.5
-0.160	10.5
-0.163	10.5
-0.166	10.5
-0.169	10.4
-0.172	10.4
-0.175	10.4
-0.178	10.4
-0.181	10.4
-0.184	10.4
-0.187	10.4
-0.190	10.4
-0.193	10.4
-0.196	10.4
-0.199	10.4
-0.202	10.4
-0.205	10.4
-0.208	10.4
-0.211	10.4
-0.214	10.3
-0.217	10.3
-0.220	10.3
-0.223	10.3
-0.226	10.3
-0.229	10.3
-0.232	10.3
-0.235	10.3
-0.238	10.3
-0.241	10.3
-0.244	10.3
-0.247	10.3
-0.250	10.3
-0.253	10.3
-0.255	10.3
-0.258	10.3
-0.261	10.3
-0.264	10.3
-0.267	10.3
-0.270	10.3
-0.273	10.3
-0.276	10.3
-0.279	10.3
-0.282	10.3
-0.285	10.3
-0.288	10.3
-0.291	10.3
-0.294	10.3
-0.297	10.3
-0.300	10.2
-0.303	10.2
-0.306	10.2
-0.309	10.2
-0.312	10.2
-0.315	10.2
-0.318	10.2
-0.321	10.2
-0.324	10.2
-0.327	10.2
-0.330	10.2
-0.333	10.2
-0.336	10.2
-0.339	10.2
-0.342	10.2
-0.345	10.2
