#&a / °	I1 / %
0.674	11.1
0.671	11.1
0.668	11.1
0.665	11.1
0.662	11.1
0.660	11.1
0.657	11.1
0.654	11.1
0.651	11.1
0.648	11.1
0.645	11.1
0.642	11.1
0.639	11.1
0.636	11.1
0.633	11.1
0.630	11.1
0.627	11.1
0.624	11.1
0.621	11.1
0.618	11.1
0.615	11.1
0.612	11.1
0.609	11.1
0.606	11.1
0.603	11.1
0.600	11.1
0.597	11.1
0.594	11.1
0.591	11.1
0.588	11.1
0.585	11.1
0.582	11.1
0.579	11.1
0.576	11.1
0.573	11.1
0.570	11.1
0.567	11.1
0.564	11.1
0.561	11.1
0.559	11.1
0.556	11.1
0.553	11.1
0.550	11.1
0.547	11.2
0.544	11.2
0.541	11.2
0.538	11.2
0.535	11.2
0.532	11.2
0.529	11.2
0.526	11.2
0.523	11.2
0.520	11.2
0.517	11.2
0.514	11.2
0.511	11.2
0.508	11.2
0.505	11.2
0.502	11.2
0.499	11.2
0.496	11.2
0.493	11.2
0.490	11.2
0.487	11.2
0.484	11.2
0.481	11.2
0.478	11.2
0.475	11.2
0.472	11.3
0.469	11.3
0.466	11.3
0.463	11.3
0.460	11.3
0.458	11.2
0.455	11.2
0.452	11.3
0.449	11.3
0.446	11.3
0.443	11.3
0.440	11.3
0.437	11.3
0.434	11.3
0.431	11.3
0.428	11.3
0.425	11.3
0.422	11.3
0.419	11.3
0.416	11.3
0.413	11.3
0.410	11.3
0.407	11.3
0.404	11.3
0.401	11.3
0.398	11.3
0.395	11.3
0.392	11.3
0.389	11.3
0.386	11.3
0.383	11.3
0.380	11.3
0.377	11.3
0.374	11.3
0.371	11.3
0.368	11.3
0.365	11.3
0.362	11.3
0.359	11.3
0.357	11.3
0.354	11.3
0.351	11.3
0.348	11.3
0.345	11.3
0.342	11.3
0.339	11.3
0.336	11.3
0.333	11.3
0.330	11.2
0.327	11.3
0.324	11.3
0.321	11.3
0.318	11.3
0.315	11.3
0.312	11.3
0.309	11.3
0.306	11.3
0.303	11.3
0.300	11.3
0.297	11.3
0.294	11.3
0.291	11.3
0.288	11.3
0.285	11.3
0.282	11.3
0.279	11.3
0.276	11.3
0.273	11.3
0.270	11.3
0.267	11.3
0.264	11.3
0.261	11.3
0.258	11.3
0.255	11.3
0.253	11.3
0.250	11.3
0.247	11.3
0.244	11.3
0.241	11.3
0.238	11.3
0.235	11.3
0.232	11.3
0.229	11.3
0.226	11.3
0.223	11.3
0.220	11.3
0.217	11.3
0.214	11.3
0.211	11.3
0.208	11.3
0.205	11.3
0.202	11.3
0.199	11.3
0.196	11.3
0.193	11.4
0.190	11.4
0.187	11.4
0.184	11.3
0.181	11.3
0.178	11.4
0.175	11.4
0.172	11.4
0.169	11.4
0.166	11.5
0.163	11.5
0.160	11.5
0.157	11.5
0.154	11.5
0.152	11.5
0.149	11.5
0.146	11.5
0.143	11.5
0.140	11.5
0.137	11.5
0.134	11.6
0.131	11.6
0.128	11.6
0.125	11.6
0.122	11.6
0.119	11.6
0.116	11.7
0.113	11.7
0.110	11.7
0.107	11.7
0.104	11.7
0.101	11.8
0.098	11.8
0.095	11.8
0.092	11.9
0.089	11.9
0.086	11.9
0.083	11.9
0.080	12.0
0.077	12.0
0.074	12.1
0.071	12.3
0.068	12.4
0.065	12.5
0.062	12.6
0.059	12.7
0.056	12.9
0.053	13.1
0.051	13.4
0.048	13.4
0.045	13.8
0.042	14.3
0.039	15.5
0.036	19.7
0.033	35.4
0.030	60.9
0.027	75.4
0.024	81.7
0.021	71.1
0.018	50.2
0.015	35.2
0.012	27.5
0.009	24.9
0.006	28.2
0.003	50.3
0.000	82.4
-0.003	87.7
-0.006	90.5
-0.009	93.8
-0.012	95.3
-0.015	77.6
-0.018	53.8
-0.021	38.2
-0.024	29.1
-0.027	23.7
-0.030	20.3
-0.033	18.0
-0.036	16.5
-0.039	15.5
-0.042	14.8
-0.045	14.2
-0.048	13.8
-0.051	13.6
-0.053	13.5
-0.056	13.4
-0.059	13.2
-0.062	13.1
-0.065	13.0
-0.068	12.9
-0.071	12.8
-0.074	12.7
-0.077	12.6
-0.080	12.5
-0.083	12.5
-0.086	12.4
-0.089	12.3
-0.092	12.3
-0.095	12.2
-0.098	12.2
-0.101	12.2
-0.104	12.1
-0.107	12.1
-0.110	12.0
-0.113	12.0
-0.116	12.0
-0.119	11.9
-0.122	11.9
-0.125	11.9
-0.128	11.9
-0.131	11.9
-0.134	11.8
-0.137	11.8
-0.140	11.7
-0.143	11.7
-0.146	11.8
-0.149	11.8
-0.152	11.8
-0.154	11.7
-0.157	11.7
-0.160	11.7
-0.163	11.7
-0.166	11.7
-0.169	11.7
-0.172	11.7
-0.175	11.7
-0.178	11.7
-0.181	11.7
-0.184	11.6
-0.187	11.6
-0.190	11.6
-0.193	11.6
-0.196	11.6
-0.199	11.6
-0.202	11.6
-0.205	11.6
-0.208	11.6
-0.211	11.6
-0.214	11.6
-0.217	11.6
-0.220	11.6
-0.223	11.7
-0.226	11.6
-0.229	11.6
-0.232	11.6
-0.235	11.7
-0.238	11.6
-0.241	11.6
-0.244	11.6
-0.247	11.6
-0.250	11.6
-0.253	11.7
-0.255	11.6
-0.258	11.6
-0.261	11.6
-0.264	11.6
-0.267	11.6
-0.270	11.6
-0.273	11.6
-0.276	11.6
-0.279	11.6
-0.282	11.6
-0.285	11.6
-0.288	11.6
-0.291	11.6
-0.294	11.6
-0.297	11.6
-0.300	11.6
-0.303	11.6
-0.306	11.6
-0.309	11.6
-0.312	11.6
-0.315	11.6
-0.318	11.6
-0.321	11.6
-0.324	11.6
-0.327	11.6
-0.330	11.6
-0.333	11.6
-0.336	11.6
-0.339	11.6
-0.342	11.6
-0.345	11.6
-0.348	11.6
-0.351	11.6
-0.354	11.5
-0.357	11.6
-0.359	11.6
-0.362	11.6
-0.365	11.6
-0.368	11.6
-0.371	11.6
-0.374	11.6
-0.377	11.6
-0.380	11.6
-0.383	11.6
-0.386	11.6
-0.389	11.6
-0.392	11.6
-0.395	11.6
-0.398	11.6
-0.401	11.6
-0.404	11.6
-0.407	11.6
-0.410	11.6
-0.413	11.6
-0.416	11.6
-0.419	11.6
-0.422	11.6
-0.425	11.6
-0.428	11.5
-0.431	11.5
-0.434	11.5
-0.437	11.5
-0.440	11.5
-0.443	11.5
-0.446	11.5
-0.449	11.5
-0.452	11.5
-0.455	11.6
-0.458	11.5
-0.460	11.5
-0.463	11.5
-0.466	11.5
-0.469	11.5
-0.472	11.5
-0.475	11.5
-0.478	11.5
-0.481	11.5
-0.484	11.6
-0.487	11.6
-0.490	11.6
-0.493	11.6
-0.496	11.6
-0.499	11.6
-0.502	11.6
-0.505	11.6
-0.508	11.6
-0.511	11.6
-0.514	11.6
-0.517	11.6
-0.520	11.6
-0.523	11.6
-0.526	11.6
-0.529	11.6
-0.532	11.6
-0.535	11.6
-0.538	11.6
-0.541	11.6
-0.544	11.6
-0.547	11.6
-0.550	11.6
-0.553	11.7
-0.556	11.6
-0.559	11.6
-0.561	11.6
-0.564	11.6
-0.567	11.6
-0.570	11.6
-0.573	11.7
-0.576	11.6
-0.579	11.6
-0.582	11.6
-0.585	11.6
-0.588	11.6
-0.591	11.6
-0.594	11.6
-0.597	11.6
-0.600	11.6
-0.603	11.6
-0.606	11.6
-0.609	11.7
-0.612	11.7
-0.615	11.7
-0.618	11.6
-0.621	11.6
-0.624	11.6
-0.627	11.6
-0.630	11.6
-0.633	11.6
-0.636	11.6
-0.639	11.6
-0.642	11.6
-0.645	11.6
-0.648	11.6
-0.651	11.6
-0.654	11.6
-0.657	11.7
-0.660	11.7
-0.662	11.6
-0.665	11.6
-0.668	11.6
-0.671	11.6
-0.674	11.6
-0.677	11.6
-0.680	11.6
-0.683	11.6
-0.686	11.7
-0.689	11.6
-0.692	11.6
-0.695	11.6
-0.698	11.7
-0.701	11.6
-0.704	11.6
-0.707	11.6
-0.710	11.7
-0.713	11.7
-0.716	11.7
-0.719	11.7
-0.722	11.7
-0.725	11.6
-0.728	11.6
-0.731	11.6
-0.734	11.6
-0.737	11.6
-0.740	11.7
-0.743	11.7
-0.746	11.6
-0.749	11.6
-0.752	11.7
-0.755	11.7
-0.758	11.6
-0.761	11.6
-0.763	11.7
-0.766	11.7
-0.769	11.7
-0.772	11.7
-0.775	11.6
-0.778	11.6
-0.781	11.7
